Season,Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
2025-2026,- -,18,Sct,Luis Ferrer (3/6/2026),,,,,7000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,14.0
2025-2026,- -,26,Int,,,,,,47000000.0,57000000.0,40.0,1.69,20.0,33.0,61.0,0.59,14.0,0.08,1.0,0.25,0.0,0.0,7.0,,,,,6.41,76.0,2.7,32.0,8.77,104.0,12.15,6.66,51.28,608.0,57.44,681.0,89.0,1.6,19.0,0.08,1.0,0.51,6.0,17.0,0.0,0.0,0.0,0.0,1.6,19.0,0.25,1.35,16.0,10.8,63.0,2.11,25.0,1.27,0.0,0.0,,,,0.07,0.08,1.0,8.1,95.9,0.08,1.0,0.51,6.0,16.0,,0.59,7.0,4.0,0.34,0.42,5.0,,3.37,30.0,20.0,1.0,0.49,,1.69,0.42,,20.0,10.0,,0.0,2.37,0.0,,0.0,,,,0.0,0.04,0.49,,,35.57,1067.0,,,,7.35,4.0,11.0,0.0,,,,0.0,21.0,,1.0,8.0,70.0,8.0,4.0,0.04,-0.49,0.21,2.46,,6.84,,0.0,- - -,13.0
2025-2026,- -,29,Int,,,,,,53000000.0,76000000.0,0.0,1.07,12.0,13.0,92.0,4.36,53.0,2.31,26.0,0.0,0.0,0.0,49.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98,146.0,21.34,240.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,0.0,0.0,0.0,,,0.0,0.36,,12.0,1.0,0.0,6.53,,0.0,0.0,,0.0,11.0,,1.0,1.0,1.0,0.0,0.0,,,,2.0,0.44,4.93,0.0,,84.33,1012.0,,,,7.13,0.0,20.0,0.0,0.53,,,6.0,0.0,,0.0,12.0,0.0,23.0,18.0,0.58,-0.53,0.1,1.1,,7.56,168.67,4.0,- - -,15.0
2025-2026,- -,19,Int,,,,,,18500000.0,18500000.0,23.0,1.58,7.0,8.0,88.0,2.93,54.0,1.58,7.0,1.35,0.0,0.0,13.0,,,,,2.48,11.0,2.03,9.0,9.25,41.0,8.8,19.17,27.97,124.0,31.13,138.0,90.0,2.03,9.0,0.23,1.0,0.68,3.0,33.0,1.0,0.0,0.23,1.0,2.03,9.0,0.0,0.68,3.0,10.15,17.0,0.9,4.0,4.29,0.0,0.0,,,,0.15,1.13,5.0,8.2,36.4,0.23,1.0,0.68,3.0,33.0,15.0,0.9,4.0,0.0,,,0.0,,5.19,13.0,12.0,0.0,1.95,,0.9,1.58,,4.0,1.0,,0.0,1.85,0.0,,0.0,,,,0.0,0.44,1.95,90.0,,30.69,399.0,,,,,,,,0.45,,,2.0,6.0,,1.0,6.0,46.0,1.0,8.0,0.44,0.05,0.11,0.47,,6.85,199.5,0.0,- - -,15.0
2025-2026,- -,26,Int,,,,,,80000000.0,127000000.0,89.0,3.7,89.0,100.0,89.0,0.83,35.0,0.29,7.0,0.25,0.12,3.0,20.0,,,,,4.7,113.0,3.45,83.0,12.55,302.0,10.01,16.95,36.81,886.0,41.93,1009.0,88.0,1.45,35.0,0.87,21.0,6.86,165.0,12.0,4.0,1.0,0.08,2.0,1.45,35.0,0.08,2.37,57.0,16.45,63.0,2.33,56.0,1.37,0.0,0.0,,,,0.14,3.66,88.0,8.3,199.7,0.91,22.0,7.6,183.0,12.0,5.0,1.0,24.0,10.0,0.42,0.25,6.0,0.37,3.7,37.0,19.0,2.0,2.73,,1.91,0.75,,46.0,18.0,,1.0,2.22,2.0,,0.0,,,,0.0,0.11,2.73,0.0,,58.54,2166.0,,,,6.74,0.0,5.0,1.0,0.04,,,1.0,25.0,,5.0,7.0,68.0,24.0,34.0,0.11,-1.73,0.22,5.38,,7.09,2166.0,9.0,- - -,16.0
2025-2026,- -,26,Int,,,,,,87000000.0,87000000.0,133.0,2.16,62.0,79.0,78.0,1.95,46.0,0.91,26.0,0.77,0.03,1.0,56.0,,,,,1.85,53.0,3.42,98.0,10.57,303.0,3.63,13.82,24.53,703.0,29.17,836.0,84.0,0.94,27.0,0.35,10.0,2.2,63.0,18.0,21.0,0.0,0.0,0.0,1.05,30.0,0.0,1.5,43.0,11.34,21.0,0.98,28.0,3.66,3.0,2.0,,,,0.1,2.93,84.0,7.8,223.4,0.42,12.0,2.37,68.0,15.0,16.0,0.52,15.0,9.0,0.31,0.28,8.0,0.14,4.64,34.0,1.0,4.0,5.37,,1.43,1.19,,41.0,33.0,,0.0,1.59,5.0,,0.0,,,,0.0,0.19,5.37,847.0,,75.85,2579.0,,,,7.1,0.0,4.0,4.0,0.31,,,9.0,17.0,,14.0,3.0,50.0,39.0,56.0,0.19,3.63,0.1,2.81,,7.03,286.56,4.0,- - -,18.0
2025-2026,- -,22,,Gaby Ruiz (3/14/2026),,,,,34000000.0,41000000.0,3.0,2.15,5.0,7.0,71.0,1.29,33.0,0.43,1.0,0.43,0.0,0.0,3.0,,,,,4.74,11.0,3.44,8.0,13.35,31.0,8.61,10.33,40.91,95.0,44.78,104.0,91.0,1.72,4.0,0.0,0.0,0.86,2.0,33.0,1.0,0.0,0.0,0.0,1.72,4.0,0.43,1.29,3.0,15.5,33.0,0.43,1.0,0.86,0.0,0.0,,,,0.1,,0.0,7.8,18.1,0.43,1.0,1.29,3.0,,,0.86,2.0,1.0,0.43,,0.0,,1.29,3.0,0.0,1.0,0.31,,2.58,0.86,,6.0,3.0,,0.0,1.75,0.0,,0.0,,,,0.0,0.13,0.31,,,69.67,209.0,,,,,,,,,,,0.0,2.0,,0.0,1.0,67.0,3.0,1.0,0.13,-0.31,0.11,0.26,,6.47,,0.0,- - -,13.0
2025-2026,- -,25,Int,Vito Leccese (1/26/2026),,,,,15000000.0,15000000.0,14.0,3.09,12.0,13.0,92.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,7.71,30.0,3.09,12.0,7.2,28.0,8.74,12.09,52.71,205.0,57.34,223.0,92.0,1.29,5.0,0.51,2.0,2.31,9.0,22.0,1.0,0.0,0.0,0.0,1.29,5.0,0.0,0.77,3.0,12.86,21.0,0.77,3.0,2.83,0.0,0.0,,,,0.94,1.54,6.0,8.3,32.2,0.51,2.0,2.31,9.0,22.0,,1.54,6.0,2.0,0.51,0.26,1.0,0.26,3.6,7.0,5.0,0.0,0.94,,2.31,0.51,,9.0,2.0,,0.0,1.75,0.0,,0.0,,,,0.0,0.24,0.94,,,50.0,350.0,,,,6.7,0.0,1.0,1.0,,,,0.0,4.0,,2.0,1.0,57.0,6.0,3.0,0.24,-0.94,0.22,0.85,,6.87,,1.0,- - -,18.0
2025-2026,- -,21,Wnt,Javier Ribalta (3/25/2026),,,,,23000000.0,32000000.0,110.0,1.27,14.0,19.0,74.0,5.43,40.0,2.17,24.0,1.72,0.0,0.0,60.0,,,,,0.99,11.0,1.45,16.0,6.51,72.0,0.9,22.25,20.98,232.0,24.51,271.0,86.0,0.45,5.0,0.0,0.0,0.99,11.0,0.0,9.0,0.0,0.0,0.0,0.45,5.0,0.09,0.27,3.0,7.42,49.0,4.88,54.0,5.07,5.0,0.0,,,,0.16,0.81,9.0,7.7,85.1,0.0,0.0,0.99,11.0,,7.0,0.09,1.0,1.0,0.09,,0.0,0.09,9.95,25.0,18.0,0.0,9.54,,1.54,0.36,,17.0,7.0,,0.0,2.36,0.0,,0.0,,,,0.0,0.86,9.54,18.0,,39.8,995.0,,,,7.5,2.0,3.0,2.0,0.36,,,4.0,18.0,,2.0,5.0,72.0,23.0,18.0,0.86,-5.54,0.05,0.57,,6.89,248.75,1.0,- - -,12.0
2025-2026,- -,25,Int,,,,,,59000000.0,59000000.0,15.0,2.21,13.0,20.0,65.0,1.7,50.0,0.85,5.0,1.02,0.34,2.0,10.0,,,,,5.61,33.0,3.06,18.0,11.74,69.0,9.19,8.51,52.91,311.0,57.84,340.0,91.0,1.19,7.0,0.17,1.0,0.85,5.0,20.0,0.0,0.0,0.0,0.0,1.19,7.0,0.0,2.38,14.0,14.29,33.0,0.85,5.0,1.7,1.0,0.0,,,,0.06,2.04,12.0,8.6,50.3,0.17,1.0,0.85,5.0,20.0,10.0,0.34,2.0,3.0,0.51,0.51,3.0,,2.55,19.0,19.0,0.0,0.57,,1.7,0.51,,10.0,,,0.0,2.11,0.0,,0.0,,,,0.0,0.1,0.57,225.0,,27.84,529.0,,,,6.58,0.0,5.0,5.0,0.17,,,1.0,12.0,,3.0,4.0,63.0,8.0,2.0,0.1,0.43,0.07,0.43,,6.85,529.0,0.0,- - -,14.0
2025-2026,- -,31,Inj,,,,,,141000000.0,141000000.0,231.0,2.89,112.0,135.0,83.0,2.87,44.0,1.27,49.0,0.8,0.05,2.0,111.0,,,,,2.89,112.0,3.92,152.0,10.43,404.0,5.73,12.24,28.53,1105.0,34.03,1318.0,84.0,1.14,44.0,0.18,7.0,2.14,83.0,13.0,10.0,0.0,0.08,3.0,1.29,50.0,0.08,1.91,74.0,14.3,48.0,2.87,111.0,3.1,4.0,3.0,,,,0.16,3.02,117.0,8.2,315.7,0.34,13.0,2.66,103.0,8.0,11.0,0.44,17.0,10.0,0.26,0.21,8.0,0.13,5.96,43.0,3.0,5.0,17.65,,1.34,1.52,,52.0,40.0,,1.0,1.49,6.0,0.0,0.0,,,,2.0,0.41,16.03,254.0,,81.07,3486.0,,,,6.9,0.0,1.0,1.0,0.31,,,12.0,19.0,,17.0,7.0,44.0,60.0,71.0,0.46,-5.65,0.15,5.65,,7.22,290.5,5.0,- - -,15.0
2025-2026,- -,19,Int,,,,,,59000000.0,73000000.0,35.0,2.04,16.0,18.0,89.0,2.04,25.0,0.51,4.0,0.64,0.13,1.0,16.0,,,,,3.69,29.0,3.56,28.0,11.84,93.0,3.82,16.29,36.03,283.0,41.37,325.0,87.0,1.27,10.0,1.15,9.0,3.82,30.0,30.0,5.0,0.0,0.0,0.0,1.27,10.0,0.0,0.38,3.0,13.62,14.0,0.64,5.0,3.82,1.0,0.0,,,,0.17,2.16,17.0,7.7,60.8,1.15,9.0,3.82,30.0,30.0,13.0,0.0,0.0,5.0,0.64,0.25,2.0,0.25,4.46,16.0,10.0,1.0,2.8,,1.78,1.15,,14.0,6.0,,0.0,2.19,1.0,,0.0,,,,0.0,0.36,2.8,655.0,,44.19,707.0,,,,,,,,0.25,,,2.0,11.0,,3.0,2.0,69.0,11.0,10.0,0.36,-0.8,0.29,2.25,,6.99,353.5,2.0,- - -,17.0
2025-2026,- -,23,,,,,,,25000000.0,35000000.0,134.0,3.13,88.0,108.0,81.0,0.43,8.0,0.04,1.0,0.18,0.28,8.0,12.0,,,,,6.65,187.0,2.56,72.0,8.89,250.0,13.2,12.38,46.03,1294.0,52.33,1471.0,88.0,1.35,38.0,0.39,11.0,2.06,58.0,23.0,4.0,0.0,0.07,2.0,1.64,46.0,0.32,2.6,73.0,14.05,66.0,3.13,88.0,1.64,0.0,0.0,,,,0.11,1.53,43.0,7.8,218.4,0.78,22.0,3.34,94.0,18.0,,1.39,39.0,9.0,0.32,0.82,23.0,0.18,4.77,31.0,0.0,4.0,1.34,,1.32,0.96,,37.0,31.0,,2.0,1.52,5.0,,0.0,,,,0.0,0.05,1.34,,,81.61,2530.0,,,,,,,,,,,0.0,13.0,,10.0,8.0,42.0,35.0,29.0,0.05,-1.34,0.16,4.39,,7.13,,5.0,- - -,15.0
2025-2026,- -,25,Wnt,,,,,,32000000.0,46000000.0,33.0,1.22,39.0,47.0,83.0,1.85,36.0,0.66,21.0,0.09,0.0,0.0,59.0,,,,,1.47,47.0,0.88,28.0,3.67,117.0,4.32,3.32,25.81,824.0,30.7,980.0,84.0,0.41,13.0,0.06,2.0,0.25,8.0,16.0,1.0,0.0,0.03,1.0,0.53,17.0,0.03,0.53,17.0,3.85,39.0,0.41,13.0,0.63,0.0,0.0,,,,0.13,0.28,9.0,2.6,82.3,0.22,7.0,1.38,44.0,25.0,3.0,0.25,8.0,2.0,0.06,0.16,5.0,0.13,1.03,33.0,0.0,4.0,7.65,,0.41,0.44,,13.0,33.0,,2.0,1.0,2.0,,0.0,,,,0.0,0.24,7.65,0.0,,87.06,2873.0,,,,,,,,0.06,,,2.0,3.0,,6.0,24.0,9.0,28.0,33.0,0.24,-5.65,0.12,3.99,,7.33,1436.5,4.0,- - -,14.0
2025-2026,- -,21,Wnt,3 Focuses,,,,,36000000.0,51000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,14.0
2025-2026,- -,18,Wnt,Tim Coe,,,,,23000000.0,29000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,13.0
2025-2026,- -,19,,,,,,,49000000.0,70000000.0,0.0,1.06,35.0,59.0,59.0,3.12,51.0,1.61,53.0,0.0,0.0,0.0,103.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.82,390.0,20.0,660.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,,,0.0,0.27,,33.0,0.0,0.0,10.69,,0.0,0.0,,0.0,33.0,,2.0,1.0,0.0,,0.0,,,,0.0,0.32,10.69,0.0,,90.0,2970.0,,,,,,,,0.3,,,10.0,0.0,,0.0,33.0,0.0,50.0,52.0,0.32,-0.69,0.06,1.92,,6.93,297.0,9.0,- - -,15.0
2025-2026,- -,24,,Ricardo Camacho (4/1/2026),,,,,74000000.0,108000000.0,130.0,1.97,57.0,71.0,80.0,2.49,40.0,1.0,29.0,0.83,0.14,4.0,72.0,,,,,2.56,74.0,3.15,91.0,13.28,384.0,7.68,17.64,30.58,884.0,36.94,1068.0,83.0,1.42,41.0,0.59,17.0,2.11,61.0,24.0,15.0,0.0,0.0,0.0,1.66,48.0,0.1,1.31,38.0,15.12,39.0,1.76,51.0,2.73,1.0,2.0,,,,0.11,2.66,77.0,8.6,249.0,0.66,19.0,2.77,80.0,27.0,11.0,0.48,14.0,14.0,0.48,0.31,9.0,0.28,4.5,57.0,36.0,0.0,8.05,,1.59,1.11,,46.0,21.0,,0.0,1.79,2.0,67.0,2.0,,,,3.0,0.25,7.24,1015.0,,45.65,2602.0,,,,,,,,0.28,,,8.0,30.0,,15.0,12.0,53.0,28.0,43.0,0.28,-0.05,0.18,5.09,,7.03,325.25,8.0,- - -,15.0
2025-2026,- -,28,Int,,,,,,79000000.0,79000000.0,122.0,3.16,121.0,155.0,78.0,0.24,33.0,0.08,3.0,0.16,0.55,21.0,9.0,,,,,7.19,275.0,2.74,105.0,8.89,340.0,12.94,10.43,57.4,2196.0,62.58,2394.0,92.0,1.05,40.0,0.26,10.0,1.36,52.0,19.0,1.0,0.0,0.31,12.0,1.12,43.0,0.08,2.01,77.0,15.37,65.0,2.07,79.0,1.12,0.0,0.0,,,,0.07,2.01,77.0,8.2,313.0,0.29,11.0,1.52,58.0,19.0,11.0,1.33,51.0,8.0,0.21,0.81,31.0,0.13,3.19,39.0,0.0,3.0,0.61,,1.49,1.44,,57.0,39.0,,0.0,1.54,4.0,,0.0,,,,0.0,0.02,0.61,61.0,,88.28,3443.0,,,,7.34,2.0,7.0,0.0,0.03,,,1.0,16.0,,11.0,12.0,41.0,27.0,41.0,0.02,0.39,0.08,3.01,,7.04,3443.0,5.0,- - -,15.0
2025-2026,- -,18,,2 Focuses,,,,,27000000.0,32000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,16.0
2025-2026,- -,18,Int,,,,,,15500000.0,19000000.0,2.0,4.0,4.0,7.0,57.0,,,,,0.0,0.0,0.0,0.0,,,,,2.0,2.0,7.0,7.0,14.0,14.0,13.0,17.0,34.0,34.0,39.0,39.0,87.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,13.0,50.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,1.0,1.0,6.6,6.6,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,,1.0,1.0,,2.0,1.0,0.0,0.0,0.0,,2.0,0.0,,2.0,1.0,,0.0,1.65,0.0,,0.0,,,,0.0,0.0,0.0,,,90.0,90.0,,,,7.1,0.0,1.0,0.0,,,,0.0,1.0,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.9,,0.0,- - -,15.0
2025-2026,- -,18,Wnt,2 Focuses,,,,,9200000.0,13000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,12.0
2025-2026,- -,18,,,,,,,14500000.0,18000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,17.0
2025-2026,- -,18,Int,2 Focuses,,,,,19000000.0,22000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,14.0
2025-2026,- -,31,,,,,,,71000000.0,101000000.0,159.0,1.96,74.0,95.0,78.0,1.83,39.0,0.71,27.0,0.77,0.03,1.0,69.0,,,,,2.75,104.0,3.57,135.0,12.67,479.0,7.38,16.3,33.02,1248.0,38.04,1438.0,87.0,1.69,64.0,0.29,11.0,1.69,64.0,18.0,11.0,1.0,0.03,1.0,1.8,68.0,0.05,1.83,69.0,12.72,16.0,0.66,25.0,3.54,3.0,3.0,,,,0.13,2.46,93.0,8.1,307.9,0.42,16.0,2.38,90.0,17.0,10.0,0.69,26.0,21.0,0.56,0.16,6.0,0.29,4.21,45.0,1.0,2.0,9.14,,1.4,1.51,,53.0,44.0,,0.0,1.36,3.0,0.0,0.0,,,,1.0,0.22,8.33,968.0,,75.6,3402.0,,,,,,,,0.19,,,7.0,17.0,,18.0,10.0,38.0,26.0,53.0,0.24,-2.14,0.17,6.41,,7.04,486.0,11.0,- - -,15.0
2025-2026,- -,21,Int,Lluis Gonzales (4/5/2026),,,,,53000000.0,75000000.0,236.0,3.09,129.0,156.0,83.0,0.41,12.0,0.05,2.0,0.1,0.34,14.0,17.0,,,,,7.95,332.0,2.78,116.0,7.61,318.0,14.01,8.07,55.83,2332.0,62.71,2619.0,89.0,0.79,33.0,0.26,11.0,1.36,57.0,19.0,0.0,0.0,0.19,8.0,0.79,33.0,0.41,2.37,99.0,14.41,68.0,3.85,161.0,1.8,0.0,0.0,,,,0.1,1.77,74.0,8.0,334.9,0.26,11.0,1.36,57.0,19.0,6.0,0.96,40.0,11.0,0.26,0.74,31.0,0.12,5.65,43.0,0.0,11.0,1.77,,2.04,1.05,,85.0,43.0,,2.0,1.91,3.0,,0.0,,,,0.0,0.04,1.77,0.0,,87.42,3759.0,,,,7.03,0.0,5.0,2.0,0.02,,,1.0,24.0,,9.0,10.0,56.0,39.0,40.0,0.04,-0.77,0.09,3.58,,7.05,3759.0,5.0,- - -,16.0
2025-2026,- -,18,,3 Focuses,,,,,24000000.0,29000000.0,3.0,,1.0,1.0,100.0,,0.0,,0.0,,,0.0,1.0,,,,,,1.0,,1.0,,5.0,,,,11.0,,11.0,100.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,33.0,,1.0,,0.0,0.0,,,,0.08,,1.0,,2.2,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,2.0,2.0,0.0,0.08,,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,,0.08,,,14.5,29.0,,,,,,,,,,,0.0,1.0,,1.0,0.0,50.0,0.0,0.0,,-0.08,,0.0,,6.6,,0.0,- - -,12.0
2025-2026,- -,28,Lst,,,,,,68000000.0,68000000.0,69.0,2.65,36.0,42.0,86.0,2.06,29.0,0.59,8.0,0.66,0.07,1.0,28.0,,,,,3.91,53.0,3.98,54.0,15.41,209.0,5.38,16.51,36.41,494.0,41.79,567.0,87.0,1.4,19.0,0.44,6.0,2.87,39.0,15.0,5.0,0.0,0.15,2.0,1.4,19.0,0.15,1.7,23.0,16.73,45.0,2.29,31.0,2.8,1.0,0.0,,,,0.11,3.1,42.0,8.2,110.9,0.44,6.0,2.87,39.0,15.0,,0.52,7.0,4.0,0.29,0.15,2.0,0.15,5.09,17.0,2.0,1.0,3.01,,0.66,1.11,,9.0,15.0,,0.0,1.35,1.0,,0.0,,,,0.0,0.22,3.01,,,71.82,1221.0,,,,,,,,,,,0.0,5.0,,4.0,8.0,29.0,24.0,21.0,0.22,-3.01,0.22,2.96,,7.14,,2.0,- - -,13.0
2025-2026,- -,21,Wnt,Gaby Ruiz (3/14/2026),,,,,61000000.0,87000000.0,260.0,1.35,51.0,66.0,77.0,0.5,32.0,0.16,6.0,0.08,0.9,34.0,19.0,,,,,4.06,153.0,1.22,46.0,3.08,116.0,15.11,2.97,58.08,2187.0,64.0,2410.0,91.0,0.27,10.0,0.03,1.0,0.11,4.0,25.0,1.0,0.0,0.32,12.0,0.27,10.0,0.85,1.83,69.0,5.55,73.0,5.02,189.0,1.89,0.0,0.0,,,,0.13,0.11,4.0,7.2,270.2,0.03,1.0,0.11,4.0,25.0,,0.93,35.0,0.0,,0.35,13.0,0.05,6.9,39.0,0.0,7.0,2.46,,1.3,0.98,,49.0,39.0,,0.0,1.64,0.0,,0.0,,,,0.0,0.07,2.46,,,86.9,3389.0,,,,,,,,,,,0.0,18.0,,11.0,10.0,46.0,27.0,11.0,0.07,-2.46,0.03,0.99,,6.91,,2.0,- - -,13.0
2025-2026,- -,21,Wnt,2 Focuses,,,,,47000000.0,65000000.0,16.0,1.39,6.0,9.0,67.0,2.32,30.0,0.7,3.0,0.46,0.0,0.0,10.0,,,,,2.32,10.0,3.48,15.0,14.38,62.0,4.18,18.79,33.17,143.0,40.36,174.0,82.0,1.62,7.0,0.0,0.0,1.86,8.0,0.0,1.0,0.0,0.0,0.0,1.62,7.0,0.0,1.86,8.0,16.24,6.0,0.23,1.0,3.48,0.0,0.0,,,,0.12,2.78,12.0,7.7,33.1,0.0,0.0,1.86,8.0,,20.0,0.46,2.0,2.0,0.46,0.23,1.0,,3.71,10.0,7.0,1.0,1.19,,2.09,2.32,,9.0,3.0,,0.0,1.6,0.0,,0.0,,,,0.0,0.28,1.19,156.0,,38.8,388.0,,,,,,,,0.46,,,2.0,4.0,,2.0,4.0,40.0,4.0,9.0,0.28,0.81,0.17,0.74,,6.93,194.0,0.0,- - -,14.0
2025-2026,- -,30,,,,,,,41000000.0,61000000.0,272.0,1.3,54.0,69.0,78.0,0.48,40.0,0.19,8.0,0.07,0.36,15.0,20.0,,,,,4.92,204.0,1.13,47.0,3.5,145.0,13.79,4.03,71.92,2983.0,76.91,3190.0,94.0,0.24,10.0,0.0,0.0,0.07,3.0,0.0,0.0,1.0,0.24,10.0,0.24,10.0,1.18,2.15,89.0,5.67,69.0,4.53,188.0,2.03,0.0,0.0,,,,0.09,0.41,17.0,7.1,296.5,0.0,0.0,0.07,3.0,,10.0,0.84,35.0,3.0,0.07,0.41,17.0,0.05,6.56,44.0,0.0,8.0,1.81,,1.47,1.21,,61.0,44.0,,0.0,1.59,3.0,,0.0,,,,0.0,0.04,1.81,1518.0,,84.84,3733.0,,,,,,,,0.05,,,2.0,19.0,,12.0,13.0,43.0,31.0,7.0,0.04,0.19,0.04,1.7,,7.06,1866.5,2.0,- - -,13.0
2025-2026,- -,20,,Tim Coe (5/22/2026),,,,,58000000.0,58000000.0,240.0,1.08,28.0,43.0,65.0,1.57,51.0,0.81,21.0,0.38,0.0,0.0,41.0,,,,,1.23,32.0,1.69,44.0,7.06,184.0,2.53,15.05,17.66,460.0,21.46,559.0,82.0,0.81,21.0,0.04,1.0,0.42,11.0,9.0,22.0,0.0,0.0,0.0,0.81,21.0,0.08,0.61,16.0,6.95,30.0,2.76,72.0,6.45,0.0,0.0,,,,0.14,1.04,27.0,7.7,200.6,0.04,1.0,0.42,11.0,9.0,20.0,0.15,4.0,5.0,0.19,0.04,1.0,0.04,9.22,32.0,2.0,2.0,5.65,,1.08,1.46,,28.0,30.0,,0.0,1.0,0.0,,0.0,,,,0.0,0.22,5.65,657.0,,73.25,2344.0,,,,,,,,0.31,,,8.0,9.0,,18.0,5.0,28.0,31.0,40.0,0.22,2.35,0.04,1.08,,6.66,293.0,1.0,- - -,15.0
